feature_set,row_id,point_id,k,wq,neighbor_row_id,neighbor_point_id,neighbor_k,neighbor_wq,d_O,d_theta
ringdown,11,k0p000250000_wqm0p712500000,0.00025,-0.7125,12,k0p000250000_wqm0p690000000,0.00025,-0.69,0.005961131712128566,0.08571428571428599
ringdown,12,k0p000250000_wqm0p690000000,0.00025,-0.69,13,k0p000250000_wqm0p666666667,0.00025,-0.6666666666666666,0.0058140409891217545,0.08888888888888882
ringdown,13,k0p000250000_wqm0p666666667,0.00025,-0.6666666666666666,12,k0p000250000_wqm0p690000000,0.00025,-0.69,0.0058140409891217545,0.08888888888888882
ringdown,14,k0p000250000_wqm0p640000000,0.00025,-0.64,13,k0p000250000_wqm0p666666667,0.00025,-0.6666666666666666,0.006246418495367157,0.10158730158730139
ringdown,15,k0p000250000_wqm0p610000000,0.00025,-0.61,16,k0p000250000_wqm0p580000000,0.00025,-0.58,0.006185987268948489,0.11428571428571438
ringdown,16,k0p000250000_wqm0p580000000,0.00025,-0.58,17,k0p000250000_wqm0p550000000,0.00025,-0.55,0.00583238720657452,0.11428571428571396
ringdown,17,k0p000250000_wqm0p550000000,0.00025,-0.55,18,k0p000250000_wqm0p525000000,0.00025,-0.525,0.004617242420803601,0.09523809523809532
ringdown,18,k0p000250000_wqm0p525000000,0.00025,-0.525,19,k0p000250000_wqm0p500000000,0.00025,-0.5,0.004413533833638891,0.09523809523809532
ringdown,19,k0p000250000_wqm0p500000000,0.00025,-0.5,20,k0p000250000_wqm0p475000000,0.00025,-0.475,0.0042227183936740815,0.09523809523809532
ringdown,20,k0p000250000_wqm0p475000000,0.00025,-0.475,21,k0p000250000_wqm0p450000000,0.00025,-0.45,0.004042229160795351,0.09523809523809511
ringdown,21,k0p000250000_wqm0p450000000,0.00025,-0.45,20,k0p000250000_wqm0p475000000,0.00025,-0.475,0.004042229160795351,0.09523809523809511
ringdown,22,k0p000500000_wqm0p712500000,0.0005,-0.7125,23,k0p000500000_wqm0p690000000,0.0005,-0.69,0.0119222634242723,0.08571428571428599
ringdown,23,k0p000500000_wqm0p690000000,0.0005,-0.69,24,k0p000500000_wqm0p666666667,0.0005,-0.6666666666666666,0.011628081978220064,0.08888888888888882
ringdown,24,k0p000500000_wqm0p666666667,0.0005,-0.6666666666666666,23,k0p000500000_wqm0p690000000,0.0005,-0.69,0.011628081978220064,0.08888888888888882
ringdown,25,k0p000500000_wqm0p640000000,0.0005,-0.64,24,k0p000500000_wqm0p666666667,0.0005,-0.6666666666666666,0.01249283699072391,0.10158730158730139
ringdown,26,k0p000500000_wqm0p610000000,0.0005,-0.61,27,k0p000500000_wqm0p580000000,0.0005,-0.58,0.012371974537874895,0.11428571428571438
ringdown,27,k0p000500000_wqm0p580000000,0.0005,-0.58,28,k0p000500000_wqm0p550000000,0.0005,-0.55,0.01166477441316528,0.11428571428571396
ringdown,28,k0p000500000_wqm0p550000000,0.0005,-0.55,29,k0p000500000_wqm0p525000000,0.0005,-0.525,0.009234484841597109,0.09523809523809532
ringdown,29,k0p000500000_wqm0p525000000,0.0005,-0.525,30,k0p000500000_wqm0p500000000,0.0005,-0.5,0.008827067667292186,0.09523809523809532
ringdown,30,k0p000500000_wqm0p500000000,0.0005,-0.5,31,k0p000500000_wqm0p475000000,0.0005,-0.475,0.008445436787337862,0.09523809523809532
ringdown,31,k0p000500000_wqm0p475000000,0.0005,-0.475,32,k0p000500000_wqm0p450000000,0.0005,-0.45,0.008084458321596419,0.09523809523809511
ringdown,32,k0p000500000_wqm0p450000000,0.0005,-0.45,31,k0p000500000_wqm0p475000000,0.0005,-0.475,0.008084458321596419,0.09523809523809511
ringdown,33,k0p000750000_wqm0p712500000,0.00075,-0.7125,34,k0p000750000_wqm0p690000000,0.00075,-0.69,0.01788339513641603,0.08571428571428599
ringdown,34,k0p000750000_wqm0p690000000,0.00075,-0.69,35,k0p000750000_wqm0p666666667,0.00075,-0.6666666666666666,0.01744212296733668,0.08888888888888882
ringdown,35,k0p000750000_wqm0p666666667,0.00075,-0.6666666666666666,34,k0p000750000_wqm0p690000000,0.00075,-0.69,0.01744212296733668,0.08888888888888882
ringdown,36,k0p000750000_wqm0p640000000,0.00075,-0.64,35,k0p000750000_wqm0p666666667,0.00075,-0.6666666666666666,0.018739255486065445,0.10158730158730139
ringdown,37,k0p000750000_wqm0p610000000,0.00075,-0.61,38,k0p000750000_wqm0p580000000,0.00075,-0.58,0.018557961806778853,0.11428571428571438
ringdown,38,k0p000750000_wqm0p580000000,0.00075,-0.58,39,k0p000750000_wqm0p550000000,0.00075,-0.55,0.01749716161977142,0.11428571428571396
ringdown,39,k0p000750000_wqm0p550000000,0.00075,-0.55,40,k0p000750000_wqm0p525000000,0.00075,-0.525,0.013851727262411323,0.09523809523809532
ringdown,40,k0p000750000_wqm0p525000000,0.00075,-0.525,41,k0p000750000_wqm0p500000000,0.00075,-0.5,0.013240601500938925,0.09523809523809532
ringdown,41,k0p000750000_wqm0p500000000,0.00075,-0.5,42,k0p000750000_wqm0p475000000,0.00075,-0.475,0.01266815518100164,0.09523809523809532
ringdown,42,k0p000750000_wqm0p475000000,0.00075,-0.475,43,k0p000750000_wqm0p450000000,0.00075,-0.45,0.012126687482397487,0.09523809523809511
ringdown,43,k0p000750000_wqm0p450000000,0.00075,-0.45,42,k0p000750000_wqm0p475000000,0.00075,-0.475,0.012126687482397487,0.09523809523809511
ringdown,44,k0p001000000_wqm0p712500000,0.001,-0.7125,45,k0p001000000_wqm0p690000000,0.001,-0.69,0.02384452684853893,0.08571428571428599
ringdown,45,k0p001000000_wqm0p690000000,0.001,-0.69,46,k0p001000000_wqm0p666666667,0.001,-0.6666666666666666,0.023256163956461656,0.08888888888888882
ringdown,46,k0p001000000_wqm0p666666667,0.001,-0.6666666666666666,45,k0p001000000_wqm0p690000000,0.001,-0.69,0.023256163956461656,0.08888888888888882
ringdown,47,k0p001000000_wqm0p640000000,0.001,-0.64,46,k0p001000000_wqm0p666666667,0.001,-0.6666666666666666,0.024985673981444276,0.10158730158730139
ringdown,48,k0p001000000_wqm0p610000000,0.001,-0.61,49,k0p001000000_wqm0p580000000,0.001,-0.58,0.024743949075710772,0.11428571428571438
ringdown,49,k0p001000000_wqm0p580000000,0.001,-0.58,50,k0p001000000_wqm0p550000000,0.001,-0.55,0.023329548826340668,0.11428571428571396
ringdown,50,k0p001000000_wqm0p550000000,0.001,-0.55,51,k0p001000000_wqm0p525000000,0.001,-0.525,0.018468969683249275,0.09523809523809532
ringdown,51,k0p001000000_wqm0p525000000,0.001,-0.525,52,k0p001000000_wqm0p500000000,0.001,-0.5,0.01765413533457368,0.09523809523809532
ringdown,52,k0p001000000_wqm0p500000000,0.001,-0.5,53,k0p001000000_wqm0p475000000,0.001,-0.475,0.016890873574664737,0.09523809523809532
