k,wq,observable_set,feature,parameter,reference_value,production_value,absolute_difference,status,notes
0.00125,-0.58,orbital,orbital__radial_azimuthal_period,k,0.2202958795002731,0.2202958795002731,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__radial_azimuthal_period,wq,-0.3560586345491998,-0.3560586345491998,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__apsidal_advance,k,0.22029587950027185,0.22029587950027185,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__apsidal_advance,wq,-0.3560586345491987,-0.3560586345491987,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__mean,k,0.1951598877965581,0.1951598877965581,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__mean,wq,-0.3220024862179631,-0.3220024862179631,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__amplitude,k,0.002720704969988576,0.002720704969988576,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__amplitude,wq,-0.0054839882706663986,-0.0054839882706663986,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__cos1,k,-0.31008967992934494,-0.31008967992934494,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__cos1,wq,0.5019717406388152,0.5019717406388152,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__sin1,k,0.3490331943070209,0.3490331943070209,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__sin1,wq,-0.5612928133480798,-0.5612928133480798,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
0.00125,-0.58,orbital,orbital__r_emit__cos2,k,-0.39297719797632324,-0.39297719797632324,0.0,PASS,production matrix reconstructed from archived feature rows because element matrix was not stored
