protocol,direction,model,feature_set,fold,seed,target,R2,MAE,RMSE,NMAE,NRMSE,n_scored,joint_error_median
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2026,k,-10.050326428007798,0.0006335605634177,0.0006785501218286371,0.25342422536708,0.27142004873145487,33,0.3204494895504353
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2026,wq,0.5754012372729926,0.044456785840066244,0.05552938006187428,0.16935918415263332,0.21154049547380677,22,0.27274737364679813
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2027,k,-10.399034857110047,0.0006441171676847212,0.0006891732624768018,0.25764686707388845,0.2756693049907207,33,0.3052089210733826
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2027,wq,0.7518081385649896,0.03480459533068089,0.04245484219563034,0.13258893459307006,0.16173273217382986,22,0.27408787109646315
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2028,k,-10.15652449538907,0.0006334920974318758,0.0006818028947634924,0.2533968389727503,0.2727211579053969,33,0.3384611230350154
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2028,wq,0.6897194753157507,0.03595563163523567,0.04746906979991677,0.13697383480089778,0.18083455161873052,22,0.2442436928603016
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2029,k,-10.684512466245218,0.0006473104181761362,0.0006977497302712132,0.2589241672704545,0.2790998921084853,33,0.3122873583234576
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2029,wq,0.6318191586842201,0.03874709527872937,0.0517087519505999,0.1476079820142071,0.19698572171657106,22,0.26716793506962344
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2030,k,-10.872514870050848,0.0006494030478279635,0.0007033406852908852,0.2597612191311854,0.2813362741163541,33,0.3335138887751552
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,high_k_to_low_k,2030,wq,0.6379215834170582,0.04162155614189283,0.051278437280790505,0.15855830911197266,0.19534642773634478,22,0.2780643629458567
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2026,k,-29.570842205517277,0.0011169678588055913,0.0011286208804982092,0.4467871435222365,0.45144835219928364,33,0.5499283317231743
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2026,wq,-0.213979874625581,0.08006957391240459,0.09389429520191575,0.30502694823773174,0.35769255315015525,22,0.5252179698318865
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2027,k,-34.83321131197903,0.0012063343696703981,0.001221904444436004,0.4825337478681592,0.4887617777744016,33,0.6104243803621578
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2027,wq,-0.32478726130909275,0.0828475471803582,0.09808588942466434,0.3156097035442217,0.37366053114157843,22,0.5556756372160534
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2028,k,-26.780527618650268,0.0010605346063915799,0.0010758819564015505,0.4242138425566319,0.4303527825606202,33,0.4943347970753287
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2028,wq,-0.1035275871415926,0.07638221015028389,0.0895210278789887,0.29097984819155764,0.3410324871580522,22,0.4742970853165511
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2029,k,-29.37482625268687,0.0011094297236813623,0.001124996782452563,0.4437718894725449,0.44999871298102523,33,0.5429292744321604
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2029,wq,-0.11782467690762277,0.07703063679363786,0.09009907020559207,0.29345004492814425,0.3432345531641603,22,0.4983624986987807
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2030,k,-34.3375369195149,0.0011979945418868034,0.0012134238219379304,0.47919781675472134,0.48536952877517214,33,0.5739363009234821
directional_extrapolation,high_k_to_low_k,hgb,orbital,high_k_to_low_k,2030,wq,-0.17253099962891616,0.07829254843974306,0.09227745953533052,0.2982573273894974,0.3515331791822115,22,0.5142934839039711
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2026,k,-13.320488878629515,0.0006916786110076182,0.0007724552003900053,0.2766714444030473,0.3089820801560021,33,0.3621555444446033
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2026,wq,0.577557361804277,0.04897423608272804,0.055388210736734805,0.18656851841039251,0.21100270756851353,22,0.3106353845340496
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2027,k,-13.60998585561196,0.0007247478363489727,0.0007802239490367482,0.2898991345395891,0.3120895796146993,33,0.3857506399815162
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2027,wq,0.41249106631167765,0.05680873398353523,0.06531917641873498,0.21641422469918184,0.24883495778565706,22,0.33437280299694605
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2028,k,-11.587671129860244,0.0006714272435314516,0.0007242142618572974,0.2685708974125806,0.28968570474291894,33,0.3310270515127982
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2028,wq,0.5351764096119154,0.050585385915899776,0.05810018875059663,0.19270623206057058,0.22133405238322526,22,0.2966359484168726
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2029,k,-16.223065209832587,0.0007861996047678455,0.0008471291029567795,0.3144798419071382,0.33885164118271177,33,0.3891949026417624
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2029,wq,0.5251431373081753,0.05121257969337374,0.058723890779728914,0.1950955416890428,0.223710060113253,22,0.3554827716880645
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2030,k,-16.29669345750951,0.0007660670873623545,0.0008489379015744101,0.3064268349449418,0.339575160629764,33,0.382130898805296
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,high_k_to_low_k,2030,wq,0.5074202268371165,0.05052452708872888,0.05980971735041917,0.19247438890944335,0.22784654228731113,22,0.30213909893278756
