k,wq,observable_set,sigma_max_81,sigma_min_81,condition_number_81,cosine_similarity_81,sensitivity_angle_deg_81,numerical_rank_81,gram_determinant_81,derivative_scheme_k_81,derivative_scheme_wq_81,derivative_quality_81,missing_features_81,feature_count_81,rank_tolerance_81,parameter_k_scale_81,parameter_wq_scale_81,sigma_max_161,sigma_min_161,condition_number_161,cosine_similarity_161,sensitivity_angle_deg_161,numerical_rank_161,gram_determinant_161,derivative_scheme_k_161,derivative_scheme_wq_161,derivative_quality_161,missing_features_161,feature_count_161,rank_tolerance_161,parameter_k_scale_161,parameter_wq_scale_161,absolute_change_sigma_min,absolute_change_sigma_max,absolute_change_condition_number,absolute_change_cosine_similarity,absolute_change_numerical_rank
0.0,-0.7125,orbital,8.160143887880263,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.160143887880262e-10,0.0025,0.2625,8.16182277883514,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.161822778835139e-10,0.0025,0.2625,0.0,0.0016788909548761666,,,0
0.0,-0.7125,photon_geometry,10.225188283834816,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.0225188283834815e-09,0.0025,0.2625,10.227126447441456,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.0227126447441458e-09,0.0025,0.2625,0.0,0.0019381636066402308,,,0
0.0,-0.7125,redshift,4.916503998197602,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.916503998197601e-10,0.0025,0.2625,4.916915610740778,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.916915610740779e-10,0.0025,0.2625,0.0,0.0004116125431758988,,,0
0.0,-0.7125,timing,6.396799788593743,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.396799788593742e-10,0.0025,0.2625,6.392386520923823,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.392386520923824e-10,0.0025,0.2625,0.0,0.004413267669919563,,,0
0.0,-0.7125,all_shooting,15.369888835330867,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5369888835330866e-09,0.0025,0.2625,15.370365350280505,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5370365350280506e-09,0.0025,0.2625,0.0,0.0004765149496375187,,,0
0.0,-0.7125,ringdown_only,2.3575205487453537,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.3575205487453536e-10,0.0025,0.2625,2.3575205487453537,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.3575205487453536e-10,0.0025,0.2625,0.0,0.0,,,0
0.0,-0.7125,ringdown_plus_photon_geometry,10.493444552558966,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0493444552558967e-09,0.0025,0.2625,10.495333177642006,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0495333177642006e-09,0.0025,0.2625,0.0,0.0018886250830405515,,,0
0.0,-0.7125,ringdown_plus_all_shooting,15.549642630883357,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5549642630883356e-09,0.0025,0.2625,15.550113637490247,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5550113637490247e-09,0.0025,0.2625,0.0,0.0004710066068902563,,,0
0.0,-0.69,orbital,6.471297724594281,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.47129772459428e-10,0.0025,0.2625,6.472348318997543,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.472348318997543e-10,0.0025,0.2625,0.0,0.0010505944032619396,,,0
0.0,-0.69,photon_geometry,7.915618968847693,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.915618968847694e-10,0.0025,0.2625,7.917195186998218,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.917195186998219e-10,0.0025,0.2625,0.0,0.0015762181505252215,,,0
0.0,-0.69,redshift,3.758869603337209,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.758869603337209e-10,0.0025,0.2625,3.7591901617516417,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.7591901617516416e-10,0.0025,0.2625,0.0,0.0003205584144327922,,,0
0.0,-0.69,timing,5.244165165867706,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,5.244165165867707e-10,0.0025,0.2625,5.240065147212303,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,5.240065147212303e-10,0.0025,0.2625,0.0,0.004100018655402771,,,0
0.0,-0.69,all_shooting,12.089875387369103,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.2089875387369103e-09,0.0025,0.2625,12.089791801792845,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.2089791801792845e-09,0.0025,0.2625,0.0,8.358557625776086e-05,,,0
0.0,-0.69,ringdown_only,2.270259125252929,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.2702591252529286e-10,0.0025,0.2625,2.270259125252929,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.2702591252529291e-10,0.0025,0.2625,0.0,0.0,,,0
0.0,-0.69,ringdown_plus_photon_geometry,8.234749550276293,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,8.234749550276292e-10,0.0025,0.2625,8.236264694922205,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,8.236264694922206e-10,0.0025,0.2625,0.0,0.001515144645912514,,,0
0.0,-0.69,ringdown_plus_all_shooting,12.301185446041671,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.2301185446041671e-09,0.0025,0.2625,12.30110329631012,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.2301103296310121e-09,0.0025,0.2625,0.0,8.214973155062921e-05,,,0
0.0,-0.6666666666666666,orbital,5.055040959111168,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.055040959111168e-10,0.0025,0.2625,5.056091031142879,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.056091031142879e-10,0.0025,0.2625,0.0,0.0010500720317105916,,,0
0.0,-0.6666666666666666,photon_geometry,6.064491048919462,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.064491048919462e-10,0.0025,0.2625,6.065753059065102,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.065753059065102e-10,0.0025,0.2625,0.0,0.0012620101456404242,,,0
0.0,-0.6666666666666666,redshift,2.8398426893896382,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.8398426893896383e-10,0.0025,0.2625,2.8401024744296532,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.8401024744296533e-10,0.0025,0.2625,0.0,0.0002597850400150037,,,0
0.0,-0.6666666666666666,timing,4.322185231776557,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,4.3221852317765564e-10,0.0025,0.2625,4.3187085496887905,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,4.3187085496887905e-10,0.0025,0.2625,0.0,0.003476682087766747,,,0
0.0,-0.6666666666666666,all_shooting,9.438086800776045,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,9.438086800776044e-10,0.0025,0.2625,9.437946931996256,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,9.437946931996257e-10,0.0025,0.2625,0.0,0.00013986877978844348,,,0
0.0,-0.6666666666666666,ringdown_only,2.182106842630374,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.1821068426303738e-10,0.0025,0.2625,2.182106842630374,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.182106842630374e-10,0.0025,0.2625,0.0,0.0,,,0
0.0,-0.6666666666666666,ringdown_plus_photon_geometry,6.445125441376495,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,6.445125441376496e-10,0.0025,0.2625,6.44631293424481,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,6.44631293424481e-10,0.0025,0.2625,0.0,0.0011874928683148767,,,0
0.0,-0.6666666666666666,ringdown_plus_all_shooting,9.687056969567037,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,9.687056969567036e-10,0.0025,0.2625,9.686920695651011,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,9.686920695651011e-10,0.0025,0.2625,0.0,0.00013627391602533123,,,0
