feature_set,target,fraction,n_train,R2,MAE,RMSE,NMAE,NRMSE
ringdown,k,0.25,20,-0.00029339853300736074,0.0006125000000000001,0.0007298687096549168,0.24500000000000002,0.29194748386196673
ringdown,wq,0.25,20,-0.006744770511778908,0.07442013888888888,0.08297599426942709,0.2835052910052909,0.3160990257882937
ringdown,k,0.4,31,-0.018325959358756805,0.0006310483870967742,0.0007364180953567894,0.25241935483870964,0.29456723814271574
ringdown,wq,0.4,31,-4.8843355528571664e-05,0.07380600358422938,0.08269959445589989,0.28116572793992145,0.31504607411771385
ringdown,k,0.6,47,0.8154626728998697,0.0002542054133473246,0.0003134896138629462,0.10168216533892983,0.1253958455451785
ringdown,wq,0.6,47,-0.039608346360948454,0.0743198037599992,0.08431942818072262,0.2831230619428541,0.3212168692598957
ringdown,k,0.8,62,0.9582386974359035,0.00011396890308136272,0.0001491310453367214,0.045587561232545086,0.05965241813468856
ringdown,wq,0.8,62,0.28713710411716253,0.06305849848608902,0.06982256181174028,0.24022285137557722,0.26599071166377247
ringdown,k,1.0,78,0.9668556607045984,9.039983947809901e-05,0.00013285739325484682,0.036159935791239606,0.05314295730193873
ringdown,wq,1.0,78,0.44188254883591693,0.05414740283651825,0.06178109124530769,0.20627582032959332,0.23535653807736262
photon_geometry,k,0.25,20,-0.00029339853300736074,0.0006125000000000001,0.0007298687096549168,0.24500000000000002,0.29194748386196673
photon_geometry,wq,0.25,20,-0.006744770511778908,0.07442013888888888,0.08297599426942709,0.2835052910052909,0.3160990257882937
photon_geometry,k,0.4,31,-0.018325959358756805,0.0006310483870967742,0.0007364180953567894,0.25241935483870964,0.29456723814271574
photon_geometry,wq,0.4,31,-4.8843355528571664e-05,0.07380600358422938,0.08269959445589989,0.28116572793992145,0.31504607411771385
photon_geometry,k,0.6,47,0.6673789286892347,0.00034697808505852425,0.0004208777072821906,0.1387912340234097,0.16835108291287623
photon_geometry,wq,0.6,47,0.8066830748753251,0.02922666203572974,0.03636032138567128,0.11133966489801805,0.1385155100406525
photon_geometry,k,0.8,62,0.7736955847127706,0.00027936531763859203,0.00034715830370127385,0.11174612705543681,0.13886332148050953
photon_geometry,wq,0.8,62,0.8022035444709315,0.02742878732938797,0.036779178647427024,0.10449061839766846,0.14011115675210295
photon_geometry,k,1.0,78,0.761518497971708,0.00027280388612497484,0.00035637595421356567,0.10912155444998993,0.14255038168542628
photon_geometry,wq,1.0,78,0.7755012024259611,0.025744507196637595,0.039183189409465,0.09807431313004798,0.14926929298843808
all_shooting,k,0.25,20,-0.00029339853300736074,0.0006125000000000001,0.0007298687096549168,0.24500000000000002,0.29194748386196673
all_shooting,wq,0.25,20,-0.006744770511778908,0.07442013888888888,0.08297599426942709,0.2835052910052909,0.3160990257882937
all_shooting,k,0.4,31,-0.018325959358756805,0.0006310483870967742,0.0007364180953567894,0.25241935483870964,0.29456723814271574
all_shooting,wq,0.4,31,-4.8843355528571664e-05,0.07380600358422938,0.08269959445589989,0.28116572793992145,0.31504607411771385
all_shooting,k,0.6,47,0.7409415369888597,0.00028418701777056473,0.00037143252978396235,0.11367480710822589,0.14857301191358493
all_shooting,wq,0.6,47,0.8651099869641237,0.022912288673376784,0.030372649067427957,0.08728490923191155,0.11570532978067792
all_shooting,k,0.8,62,0.8691517957724156,0.00018601267837815906,0.0002639762939391065,0.07440507135126362,0.10559051757564258
all_shooting,wq,0.8,62,0.8649538516633417,0.019478027752099652,0.030390222166789313,0.07420201048418915,0.11577227492110213
all_shooting,k,1.0,78,0.905095575334217,0.00017309523801313625,0.00022481447701007623,0.0692380952052545,0.08992579080403049
all_shooting,wq,1.0,78,0.8392155232644012,0.017579169332083113,0.033160023694999076,0.06696826412222139,0.12632389979047268
ringdown_plus_photon_geometry,k,0.25,20,-0.00029339853300736074,0.0006125000000000001,0.0007298687096549168,0.24500000000000002,0.29194748386196673
ringdown_plus_photon_geometry,wq,0.25,20,-0.006744770511778908,0.07442013888888888,0.08297599426942709,0.2835052910052909,0.3160990257882937
ringdown_plus_photon_geometry,k,0.4,31,-0.018325959358756805,0.0006310483870967742,0.0007364180953567894,0.25241935483870964,0.29456723814271574
ringdown_plus_photon_geometry,wq,0.4,31,-4.8843355528571664e-05,0.07380600358422938,0.08269959445589989,0.28116572793992145,0.31504607411771385
ringdown_plus_photon_geometry,k,0.6,47,0.8202720886019134,0.00024279991215409401,0.00030937755841075443,0.0971199648616376,0.12375102336430177
ringdown_plus_photon_geometry,wq,0.6,47,0.8139147848834406,0.028624155789430922,0.035673745388550615,0.10904440300735589,0.13589998243257376
ringdown_plus_photon_geometry,k,0.8,62,0.9515294897104696,0.00012556938900556516,0.0001606644678667913,0.05022775560222607,0.06426578714671652
ringdown_plus_photon_geometry,wq,0.8,62,0.8024764496824357,0.026812780133279868,0.03675379726723044,0.10214392431725663,0.14001446577992546
ringdown_plus_photon_geometry,k,1.0,78,0.9739275032291432,9.609700898599573e-05,0.00011783447064853891,0.03843880359439829,0.04713378825941556
ringdown_plus_photon_geometry,wq,1.0,78,0.8155618848494232,0.021096130948629065,0.03551551458716161,0.08036621313763453,0.13529719842728233
ringdown_plus_all_shooting,k,0.25,20,-0.00029339853300736074,0.0006125000000000001,0.0007298687096549168,0.24500000000000002,0.29194748386196673
ringdown_plus_all_shooting,wq,0.25,20,-0.006744770511778908,0.07442013888888888,0.08297599426942709,0.2835052910052909,0.3160990257882937
ringdown_plus_all_shooting,k,0.4,31,-0.018325959358756805,0.0006310483870967742,0.0007364180953567894,0.25241935483870964,0.29456723814271574
ringdown_plus_all_shooting,wq,0.4,31,-4.8843355528571664e-05,0.07380600358422938,0.08269959445589989,0.28116572793992145,0.31504607411771385
ringdown_plus_all_shooting,k,0.6,47,0.8537113800125773,0.0002078919102185434,0.00027911701729249735,0.08315676408741736,0.11164680691699894
ringdown_plus_all_shooting,wq,0.6,47,0.864847639590231,0.02298406632851477,0.030402170578981286,0.0875583479181515,0.11581779268183347
ringdown_plus_all_shooting,k,0.8,62,0.9545269740014046,0.00010684070123890325,0.0001556173342883844,0.0427362804955613,0.06224693371535375
ringdown_plus_all_shooting,wq,0.8,62,0.8649538516633417,0.019478027752099652,0.030390222166789313,0.07420201048418915,0.11577227492110213
ringdown_plus_all_shooting,k,1.0,78,0.9776656098774283,8.57666259717184e-05,0.00010906065280271785,0.034306650388687354,0.04362426112108714
ringdown_plus_all_shooting,wq,1.0,78,0.84048493578605,0.017430443284849485,0.03302886313912697,0.06640168870418851,0.12582424053000751
