protocol,fold,feature_set,target,noise,realization,R2,MAE,RMSE,NMAE,NRMSE
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.0,0,0.6291970436277249,0.00012201805233503131,0.000170202764274215,0.048807220934012525,0.06808110570968601
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.0,0,-24.271158630590495,0.12958460374218467,0.13546661819872205,0.4936556333035606,0.516063307423703
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.001,0,0.6287410035387788,0.00012125443974436138,0.0001703073959008619,0.04850177589774455,0.06812295836034475
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.001,0,-24.28820243539889,0.12969533285460047,0.13551229234978346,0.49407745849371604,0.5162373041896513
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.005,0,0.6103855183956097,0.00014235781960362094,0.00017446670563561116,0.05694312784144837,0.06978668225424446
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.005,0,-24.73083606973418,0.13113549012939824,0.1366931215316868,0.4995637719215171,0.5207357010730925
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.01,0,0.5335640249986097,0.00015518348320995158,0.00019089345338953775,0.06207339328398063,0.0763573813558151
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.01,0,-24.3158212839613,0.1304248589810146,0.13558627293697206,0.4968566056419604,0.5165191349979887
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.0,1,0.6291970436277249,0.00012201805233503131,0.000170202764274215,0.048807220934012525,0.06808110570968601
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.0,1,-24.271158630590495,0.12958460374218467,0.13546661819872205,0.4936556333035606,0.516063307423703
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.001,1,0.6287410035387788,0.00012125443974436138,0.0001703073959008619,0.04850177589774455,0.06812295836034475
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.001,1,-24.28820243539889,0.12969533285460047,0.13551229234978346,0.49407745849371604,0.5162373041896513
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.005,1,0.6286344440952556,0.00012161897260886381,0.0001703318351191525,0.04864758904354552,0.068132734047661
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.005,1,-24.198321999626586,0.13023361708692854,0.13527125612384394,0.4961280650930611,0.5153190709479769
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.01,1,0.5883643028468887,0.0001471794402958031,0.00017932941431925446,0.058871776118321235,0.07173176572770178
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.01,1,-24.552051057159286,0.13134341437839847,0.13621740280255343,0.5003558642986609,0.5189234392478226
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.0,2,0.6291970436277249,0.00012201805233503131,0.000170202764274215,0.048807220934012525,0.06808110570968601
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.0,2,-24.271158630590495,0.12958460374218467,0.13546661819872205,0.4936556333035606,0.516063307423703
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.001,2,0.6289109734487832,0.00012122624496185529,0.0001702684063451403,0.048490497984742115,0.06810736253805612
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.001,2,-24.28820243539889,0.12969533285460047,0.13551229234978346,0.49407745849371604,0.5162373041896513
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.005,2,0.5588731601184395,0.00013944787245755082,0.00018564222139843867,0.055779148983020325,0.07425688855937547
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.005,2,-24.82809712520109,0.1318649192612746,0.13695122386123237,0.5023425495667604,0.52171894804279
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.01,2,0.46820838117917774,0.00017214885647248338,0.00020382889937488438,0.06885954258899335,0.08153155974995376
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.01,2,-26.57952153195517,0.13735912280781376,0.1415184541410157,0.5232728487916715,0.5391179205372026
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.0,3,0.6291970436277249,0.00012201805233503131,0.000170202764274215,0.048807220934012525,0.06808110570968601
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.0,3,-24.271158630590495,0.12958460374218467,0.13546661819872205,0.4936556333035606,0.516063307423703
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.001,3,0.6571081090829607,0.00011246247802388393,0.00016367171098847138,0.04498499120955357,0.06546868439538855
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.001,3,-23.66731592601316,0.12759978840779918,0.13383837662348694,0.48609443202971114,0.5098604823751883
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.005,3,0.6571575475539492,0.00011402211030284523,0.00016365991139355942,0.04560884412113809,0.06546396455742376
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.005,3,-23.843401949816933,0.12854958209196554,0.13431522540381347,0.48971269368367826,0.5116770491573847
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.01,3,0.6179389692720476,0.0001417142943758787,0.00017276723655144016,0.05668571775035147,0.06910689462057606
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.01,3,-23.189680876089078,0.12637805426168008,0.13253628151355856,0.4814402067111622,0.5049001200516516
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.0,4,0.6291970436277249,0.00012201805233503131,0.000170202764274215,0.048807220934012525,0.06808110570968601
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.0,4,-24.271158630590495,0.12958460374218467,0.13546661819872205,0.4936556333035606,0.516063307423703
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.001,4,0.6577662032305245,0.00011289782140287128,0.00016351457235554045,0.045159128561148516,0.06540582894221618
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.001,4,-23.817396967594675,0.12834100537498083,0.13424490935814862,0.4889181157142127,0.5114091785072328
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.005,4,0.5978511216597637,0.00013165991844562663,0.00017725089878567883,0.05266396737825065,0.07090035951427152
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.005,4,-24.24142429575699,0.1303319760101316,0.1353868989545163,0.49650276575288227,0.515759615064824
grouped_physical_interpolation,blocks_3x3_g0,ringdown,k,0.01,4,0.5368379088270225,0.00015856645653239204,0.0001902223393108414,0.06342658261295682,0.07608893572433656
grouped_physical_interpolation,blocks_3x3_g0,ringdown,wq,0.01,4,-26.613157151130018,0.13738667453950726,0.14160472486151635,0.5233778077695515,0.5394465709010147
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.0,0,0.2557467122703011,0.00020007243737035272,0.00024113230414833,0.08002897494814108,0.096452921659332
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.0,0,-0.07210919580910691,0.02845017924931316,0.033023265626101764,0.1083816352354787,0.12580291667086385
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.001,0,0.25637294322548243,0.00019890835809815532,0.0002410308358084276,0.07956334323926213,0.09641233432337104
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.001,0,-0.09583832798885528,0.028833471308045783,0.03338671965394567,0.10984179545922203,0.12718750344360255
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.005,0,0.38103386182546917,0.00018143199316673445,0.00021990163606686793,0.07257279726669377,0.08796065442674716
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.005,0,0.1349694896018251,0.025555807951870083,0.02966307843592169,0.09735545886426698,0.11300220356541596
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.01,0,0.37121447284381215,0.0001879757954453504,0.00022163905185927226,0.07519031817814016,0.0886556207437089
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.01,0,0.11664171558294856,0.02652635209734537,0.02997567355257373,0.10105276989464902,0.11419304210504277
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.0,1,0.2557467122703011,0.00020007243737035272,0.00024113230414833,0.08002897494814108,0.096452921659332
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.0,1,-0.07210919580910691,0.02845017924931316,0.033023265626101764,0.1083816352354787,0.12580291667086385
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.001,1,0.25571021526457305,0.00020012166309061675,0.00024113821644951934,0.0800486652362467,0.09645528657980773
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.001,1,-0.07661813137254891,0.028444192457009312,0.033092635215490364,0.10835882840765453,0.12606718177329662
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.005,1,0.2554946745318655,0.0002000150554819164,0.00024117312983041458,0.08000602219276656,0.09646925193216584
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.005,1,-0.08617173899428465,0.028512938848202274,0.033239138312511164,0.10862071942172294,0.12662528880956633
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.01,1,0.30919458900600016,0.00019867000619562175,0.00023231266158758168,0.0794680024782487,0.09292506463503267
