M,k,wq,delta_r,r_photon,Omega,lambda
1.0,0.0,-0.7125,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.69,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.6666666666666666,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.64,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.61,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.58,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.55,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.525,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.5,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.475,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.45,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.00025,-0.7125,0.0011285369905749167,3.001128536990575,0.19219827866309308,0.19212090577827637
1.0,0.00025,-0.69,0.0011298842603712838,3.0011298842603713,0.19221627647472167,0.19214125749180566
1.0,0.00025,-0.6666666666666666,0.0011250000000000003,3.001125,0.19223358337892915,0.19216141459528047
1.0,0.00025,-0.64,0.0011127729949773639,3.0011127729949774,0.19225179967178974,0.19218327062771537
1.0,0.00025,-0.61,0.0010920129054084323,3.0010920129054086,0.19227046752335217,0.19220636933895438
1.0,0.00025,-0.58,0.0010652990539405638,3.0010652990539404,0.192287377905653,0.19222792300508224
1.0,0.00025,-0.55,0.001033936463672334,3.0010339364636724,0.19230269627416507,0.1922479764537327
1.0,0.00025,-0.525,0.0010050573722454588,3.0010050573722453,0.19231435402357888,0.19226358038594243
1.0,0.00025,-0.5,0.0009742785792574935,3.0009742785792577,0.19232508972987528,0.19227821472987527
1.0,0.00025,-0.475,0.0009420812475705694,3.0009420812475707,0.19233497631995286,0.19229191671005377
1.0,0.00025,-0.45,0.0009088823109712959,3.0009088823109713,0.19234408095272354,0.192304725194206
1.0,0.0005,-0.7125,0.0022570739811498333,3.00225707398115,0.19194646759631093,0.19179172182667742
1.0,0.0005,-0.69,0.0022597685207425677,3.0022597685207426,0.1919824632195681,0.19183242525373606
1.0,0.0005,-0.6666666666666666,0.0022500000000000007,3.00225,0.19201707702798304,0.19187273946068564
1.0,0.0005,-0.64,0.0022255459899547278,3.0022255459899547,0.1920535096137042,0.19191645152555548
1.0,0.0005,-0.61,0.0021840258108168646,3.002184025810817,0.19209084531682905,0.19196264894803353
1.0,0.0005,-0.58,0.0021305981078811277,3.002130598107881,0.1921246660814308,0.1920057562802892
1.0,0.0005,-0.55,0.002067872927344668,3.0020678729273444,0.19215530281845492,0.19204586317759012
1.0,0.0005,-0.525,0.0020101147444909176,3.002010114744491,0.19217861831728256,0.19207707104200958
1.0,0.0005,-0.5,0.001948557158514987,3.001948557158515,0.19220008972987526,0.19210633972987526
1.0,0.0005,-0.475,0.0018841624951411388,3.0018841624951413,0.19221986291003046,0.19213374369023226
1.0,0.0005,-0.45,0.0018177646219425918,3.0018177646219426,0.19223807217557184,0.1921593606585367
1.0,0.00075,-0.7125,0.0033856109717247495,3.003385610971725,0.19169465652952875,0.19146253787507853
1.0,0.00075,-0.69,0.0033896527811138515,3.003389652781114,0.19174864996441454,0.19152359301566643
1.0,0.00075,-0.6666666666666666,0.003375000000000001,3.003375,0.19180057067703693,0.19158406432609085
1.0,0.00075,-0.64,0.003338318984932092,3.003338318984932,0.19185521955561866,0.19164963242339558
1.0,0.00075,-0.61,0.0032760387162252976,3.0032760387162254,0.19191122311030595,0.19171892855711264
1.0,0.00075,-0.58,0.003195897161821692,3.0031958971618216,0.19196195425720855,0.19178358955549615
1.0,0.00075,-0.55,0.0031018093910170023,3.003101809391017,0.19200790936274476,0.19184374990144756
1.0,0.00075,-0.525,0.003015172116736376,3.0030151721167364,0.19204288261098618,0.19189056169807675
1.0,0.00075,-0.5,0.0029228357377724806,3.0029228357377726,0.19207508972987528,0.19193446472987527
1.0,0.00075,-0.475,0.002826243742711709,3.0028262437427116,0.19210474950010806,0.19197557067041074
1.0,0.00075,-0.45,0.0027266469329138877,3.002726646932914,0.19213206339842012,0.19201399612286743
1.0,0.001,-0.7125,0.004514147962299667,3.0045141479622997,0.19144284546274656,0.1911333539234796
1.0,0.001,-0.69,0.004519537041485135,3.0045195370414852,0.19151483670926095,0.19121476077759686
1.0,0.001,-0.6666666666666666,0.004500000000000001,3.0045,0.19158406432609085,0.191295389191496
1.0,0.001,-0.64,0.0044510919799094556,3.0044510919799094,0.19165692949753313,0.1913828133212357
1.0,0.001,-0.61,0.004368051621633729,3.0043680516216336,0.19173160090378283,0.19147520816619173
1.0,0.001,-0.58,0.004261196215762255,3.0042611962157624,0.19179924243298632,0.19156142283070313
1.0,0.001,-0.55,0.004135745854689336,3.0041357458546893,0.19186051590703457,0.19164163662530498
1.0,0.001,-0.525,0.004020229488981835,3.0040202294889817,0.19190714690468982,0.1917040523541439
1.0,0.001,-0.5,0.003897114317029974,3.00389711431703,0.19195008972987526,0.19176258972987525
1.0,0.001,-0.475,0.0037683249902822776,3.0037683249902822,0.19198963609018563,0.19181739765058922
1.0,0.001,-0.45,0.0036355292438851835,3.003635529243885,0.19202605462126843,0.19186863158719814
1.0,0.00125,-0.7125,0.005642684952874582,3.005642684952875,0.19119103439596438,0.19080416997188068
1.0,0.00125,-0.69,0.005649421301856418,3.0056494213018565,0.19128102345410736,0.19090592853952726
1.0,0.00125,-0.6666666666666666,0.005625000000000001,3.005625,0.1913675579751447,0.1910067140569012
1.0,0.00125,-0.64,0.005563864974886819,3.005563864974887,0.1914586394394476,0.1911159942190758
1.0,0.00125,-0.61,0.005460064527042162,3.005460064527042,0.19155197869725973,0.19123148777527088
1.0,0.00125,-0.58,0.005326495269702819,3.0053264952697027,0.1916365306087641,0.19133925610591007
1.0,0.00125,-0.55,0.0051696823183616705,3.005169682318362,0.1917131224513244,0.1914395233491624
1.0,0.00125,-0.525,0.005025286861227294,3.0050252868612275,0.19177141119839347,0.19151754301021107
1.0,0.00125,-0.5,0.004871392896287467,3.0048713928962876,0.19182508972987528,0.19159071472987527
1.0,0.00125,-0.475,0.004710406237852847,3.004710406237853,0.19187452268026323,0.19165922463076773
1.0,0.00125,-0.45,0.004544411554856478,3.0045444115548565,0.1919200458441167,0.19172326705152884
1.0,0.0015,-0.7125,0.006771221943449499,3.0067712219434495,0.19093922332918223,0.19047498602028176
1.0,0.0015,-0.69,0.006779305562227703,3.006779305562228,0.1910472101989538,0.19059709630145763
1.0,0.0015,-0.6666666666666666,0.006750000000000002,3.00675,0.1911510516241986,0.19071803892230638
1.0,0.0015,-0.64,0.006676637969864184,3.006676637969864,0.19126034938136208,0.1908491751169159
1.0,0.0015,-0.61,0.006552077432450595,3.006552077432451,0.1913723564907366,0.19098776738435
1.0,0.0015,-0.58,0.006391794323643384,3.0063917943236436,0.19147381878454187,0.19111708938111704
1.0,0.0015,-0.55,0.0062036187820340045,3.006203618782034,0.19156572899561425,0.19123741007301984
1.0,0.0015,-0.525,0.006030344233472752,3.006030344233473,0.19163567549209712,0.1913310336662782
1.0,0.0015,-0.5,0.005845671475544961,3.005845671475545,0.19170008972987526,0.19141883972987528
1.0,0.0015,-0.475,0.005652487485423418,3.0056524874854236,0.19175940927034082,0.19150105161094624
1.0,0.0015,-0.45,0.0054532938658277755,3.005453293865828,0.191814037066965,0.19157790251585957
1.0,0.00175,-0.7125,0.007899758934024417,3.0078997589340246,0.19068741226240005,0.19014580206868284
1.0,0.00175,-0.69,0.007909189822598988,3.007909189822599,0.19081339694380023,0.19028826406338803
1.0,0.00175,-0.6666666666666666,0.007875000000000002,3.007875,0.19093454527325252,0.19042936378771158
1.0,0.00175,-0.64,0.007789410964841547,3.0077894109648415,0.19106205932327655,0.190582356014756
1.0,0.00175,-0.61,0.007644090337859027,3.007644090337859,0.19119273428421352,0.19074404699342912
1.0,0.00175,-0.58,0.007457093377583947,3.007457093377584,0.19131110696031964,0.19089492265632402
1.0,0.00175,-0.55,0.0072375552457063395,3.0072375552457062,0.19141833553990406,0.19103529679687725
1.0,0.00175,-0.525,0.007035401605718211,3.007035401605718,0.19149993978580074,0.19114452432234538
1.0,0.00175,-0.5,0.006819950054802454,3.0068199500548025,0.19157508972987528,0.19124696472987526
1.0,0.00175,-0.475,0.006594568732993987,3.006594568732994,0.19164429586041842,0.19134287859112473
1.0,0.00175,-0.45,0.006362176176799071,3.006362176176799,0.1917080282898133,0.19143253798019028
1.0,0.002,-0.7125,0.009028295924599333,3.0090282959245993,0.19043560119561787,0.18981661811708392
1.0,0.002,-0.69,0.00903907408297027,3.0090390740829704,0.19057958368864664,0.18997943182531843
1.0,0.002,-0.6666666666666666,0.009000000000000003,3.009,0.19071803892230638,0.19014068865311676
1.0,0.002,-0.64,0.008902183959818911,3.008902183959819,0.190863769265191,0.19031553691259612
1.0,0.002,-0.61,0.008736103243267459,3.0087361032432676,0.19101311207769042,0.19050032660250824
1.0,0.002,-0.58,0.00852239243152451,3.0085223924315243,0.1911483951360974,0.19067275593153096
1.0,0.002,-0.55,0.008271491709378673,3.0082714917093787,0.19127094208419387,0.1908331835207347
1.0,0.002,-0.525,0.00804045897796367,3.0080404589779635,0.19136420407950439,0.19095801497841253
1.0,0.002,-0.5,0.007794228634059948,3.0077942286340598,0.19145008972987526,0.19107508972987527
1.0,0.002,-0.475,0.007536649980564555,3.0075366499805645,0.19152918245049602,0.1911847055713032
1.0,0.002,-0.45,0.007271058487770367,3.0072710584877704,0.19160201951266156,0.191287173444521
1.0,0.00225,-0.7125,0.010156832915174246,3.0101568329151744,0.19018379012883568,0.18948743416548502
1.0,0.00225,-0.69,0.010168958343341554,3.0101689583433417,0.19034577043349307,0.18967059958724886
1.0,0.00225,-0.6666666666666666,0.010125,3.010125,0.19050153257136027,0.18985201351852196
1.0,0.00225,-0.64,0.010014956954796273,3.0100149569547963,0.19066547920710547,0.19004871781043622
1.0,0.00225,-0.61,0.00982811614867589,3.0098281161486757,0.1908334898711673,0.19025660621158738
1.0,0.00225,-0.58,0.009587691485465073,3.009587691485465,0.19098568331187515,0.19045058920673794
1.0,0.00225,-0.55,0.009305428173051005,3.009305428173051,0.19112354862848374,0.1906310702445921
1.0,0.00225,-0.525,0.009045516350209127,3.0090455163502092,0.19122846837320803,0.1907715056344797
1.0,0.00225,-0.5,0.00876850721331744,3.0087685072133175,0.19132508972987528,0.19090321472987526
1.0,0.00225,-0.475,0.008478731228135123,3.008478731228135,0.1914140690405736,0.1910265325514817
1.0,0.00225,-0.45,0.008179940798741661,3.0081799407987417,0.19149601073550987,0.1911418089088517
1.0,0.0025,-0.7125,0.011285369905749165,3.011285369905749,0.1899319790620535,0.18915825021388608
1.0,0.0025,-0.69,0.011298842603712837,3.011298842603713,0.19011195717833948,0.18936176734917923
1.0,0.0025,-0.6666666666666666,0.011250000000000001,3.01125,0.19028502622041416,0.18956333838392714
1.0,0.0025,-0.64,0.011127729949773638,3.0111277299497736,0.19046718914901994,0.18978189870827633
1.0,0.0025,-0.61,0.010920129054084324,3.0109201290540843,0.19065386766464418,0.1900128858206665
1.0,0.0025,-0.58,0.010652990539405638,3.0106529905394055,0.19082297148765293,0.1902284224819449
1.0,0.0025,-0.55,0.010339364636723341,3.010339364636723,0.19097615517277355,0.19042895696844955
1.0,0.0025,-0.525,0.010050573722454588,3.0100505737224545,0.19109273266691168,0.19058499629054684
1.0,0.0025,-0.5,0.009742785792574935,3.009742785792575,0.19120008972987526,0.19073133972987527
1.0,0.0025,-0.475,0.009420812475705694,3.009420812475706,0.19129895563065122,0.1908683595316602
1.0,0.0025,-0.45,0.009088823109712957,3.009088823109713,0.19139000195835815,0.19099644437318244
