point_id,k,wq,protocol,direction,fold,seed,role
k0.00000000_wq-0.71250000,0.0,-0.7125,random_interpolation,,random_2026,2026,train
k0.00000000_wq-0.69000000,0.0,-0.69,random_interpolation,,random_2026,2026,train
k0.00000000_wq-0.61000000,0.0,-0.61,random_interpolation,,random_2026,2026,train
k0.00000000_wq-0.58000000,0.0,-0.58,random_interpolation,,random_2026,2026,train
k0.00000000_wq-0.55000000,0.0,-0.55,random_interpolation,,random_2026,2026,train
k0.00000000_wq-0.52500000,0.0,-0.525,random_interpolation,,random_2026,2026,train
k0.00000000_wq-0.50000000,0.0,-0.5,random_interpolation,,random_2026,2026,train
k0.00025000_wq-0.71250000,0.00025,-0.7125,random_interpolation,,random_2026,2026,train
k0.00025000_wq-0.66666667,0.00025,-0.6666666666666666,random_interpolation,,random_2026,2026,train
k0.00025000_wq-0.52500000,0.00025,-0.525,random_interpolation,,random_2026,2026,train
k0.00025000_wq-0.47500000,0.00025,-0.475,random_interpolation,,random_2026,2026,train
k0.00025000_wq-0.45000000,0.00025,-0.45,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.71250000,0.0005,-0.7125,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.69000000,0.0005,-0.69,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.66666667,0.0005,-0.6666666666666666,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.61000000,0.0005,-0.61,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.58000000,0.0005,-0.58,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.55000000,0.0005,-0.55,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.50000000,0.0005,-0.5,random_interpolation,,random_2026,2026,train
k0.00050000_wq-0.45000000,0.0005,-0.45,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.69000000,0.00075,-0.69,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.64000000,0.00075,-0.64,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.61000000,0.00075,-0.61,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.58000000,0.00075,-0.58,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.55000000,0.00075,-0.55,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.52500000,0.00075,-0.525,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.50000000,0.00075,-0.5,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.47500000,0.00075,-0.475,random_interpolation,,random_2026,2026,train
k0.00075000_wq-0.45000000,0.00075,-0.45,random_interpolation,,random_2026,2026,train
k0.00100000_wq-0.71250000,0.001,-0.7125,random_interpolation,,random_2026,2026,train
k0.00100000_wq-0.69000000,0.001,-0.69,random_interpolation,,random_2026,2026,train
k0.00100000_wq-0.58000000,0.001,-0.58,random_interpolation,,random_2026,2026,train
k0.00100000_wq-0.55000000,0.001,-0.55,random_interpolation,,random_2026,2026,train
k0.00100000_wq-0.47500000,0.001,-0.475,random_interpolation,,random_2026,2026,train
k0.00100000_wq-0.45000000,0.001,-0.45,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.69000000,0.00125,-0.69,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.66666667,0.00125,-0.6666666666666666,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.61000000,0.00125,-0.61,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.55000000,0.00125,-0.55,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.50000000,0.00125,-0.5,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.47500000,0.00125,-0.475,random_interpolation,,random_2026,2026,train
k0.00125000_wq-0.45000000,0.00125,-0.45,random_interpolation,,random_2026,2026,train
k0.00150000_wq-0.71250000,0.0015,-0.7125,random_interpolation,,random_2026,2026,train
