k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.7125,orbital,8.160143887880263,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.160143887880263e-10,0.0025,0.2625
0.0,-0.7125,photon_geometry,10.225188283834816,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.0225188283834817e-09,0.0025,0.2625
0.0,-0.7125,redshift,4.916503998197602,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.916503998197602e-10,0.0025,0.2625
0.0,-0.7125,timing,6.396799788593743,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.396799788593743e-10,0.0025,0.2625
0.0,-0.7125,all_shooting,15.369888835330867,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5369888835330868e-09,0.0025,0.2625
0.0,-0.7125,ringdown_only,2.3575205487453537,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.3575205487453536e-10,0.0025,0.2625
0.0,-0.7125,ringdown_plus_photon_geometry,10.493444552558966,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0493444552558967e-09,0.0025,0.2625
0.0,-0.7125,ringdown_plus_all_shooting,15.549642630883357,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5549642630883358e-09,0.0025,0.2625
0.0,-0.69,orbital,6.471297724594281,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.471297724594281e-10,0.0025,0.2625
0.0,-0.69,photon_geometry,7.915618968847693,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.915618968847694e-10,0.0025,0.2625
