k,wq,observable_set,sigma_max_81,sigma_min_81,condition_number_81,cosine_similarity_81,sensitivity_angle_deg_81,numerical_rank_81,gram_determinant_81,derivative_scheme_k_81,derivative_scheme_wq_81,derivative_quality_81,missing_features_81,feature_count_81,rank_tolerance_81,parameter_k_scale_81,parameter_wq_scale_81,sigma_max_161,sigma_min_161,condition_number_161,cosine_similarity_161,sensitivity_angle_deg_161,numerical_rank_161,gram_determinant_161,derivative_scheme_k_161,derivative_scheme_wq_161,derivative_quality_161,missing_features_161,feature_count_161,rank_tolerance_161,parameter_k_scale_161,parameter_wq_scale_161,sigma_max_321,sigma_min_321,condition_number_321,cosine_similarity_321,sensitivity_angle_deg_321,numerical_rank_321,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality_321,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.7125,orbital,8.160143887880263,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.160143887880262e-10,0.0025,0.2625,8.16182277883514,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.161822778835138e-10,0.0025,0.2625,8.064459137208399,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.064459137208399e-10,0.0025,0.2625
0.0,-0.7125,photon_geometry,10.225188283834816,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.0225188283834815e-09,0.0025,0.2625,10.227126447441456,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.0227126447441458e-09,0.0025,0.2625,10.166417395043018,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.016641739504302e-09,0.0025,0.2625
0.0,-0.7125,redshift,4.916503998197602,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.916503998197601e-10,0.0025,0.2625,4.916915610740778,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.916915610740779e-10,0.0025,0.2625,4.910331180708451,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.910331180708451e-10,0.0025,0.2625
0.0,-0.7125,timing,6.396799788593743,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.396799788593742e-10,0.0025,0.2625,6.392386520923823,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.392386520923824e-10,0.0025,0.2625,6.3440893991899285,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.344089399189929e-10,0.0025,0.2625
0.0,-0.7125,all_shooting,15.369888835330867,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5369888835330866e-09,0.0025,0.2625,15.370365350280505,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5370365350280504e-09,0.0025,0.2625,15.256158311812609,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5256158311812608e-09,0.0025,0.2625
0.0,-0.7125,ringdown_only,2.3575205487453537,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.3575205487453536e-10,0.0025,0.2625,2.3575205487453537,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.3575205487453536e-10,0.0025,0.2625,2.357520548745424,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.357520548745424e-10,0.0025,0.2625
0.0,-0.7125,ringdown_plus_photon_geometry,10.493444552558966,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0493444552558967e-09,0.0025,0.2625,10.495333177642006,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0495333177642006e-09,0.0025,0.2625,10.436184445859041,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0436184445859042e-09,0.0025,0.2625
0.0,-0.7125,ringdown_plus_all_shooting,15.549642630883357,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5549642630883356e-09,0.0025,0.2625,15.550113637490249,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5550113637490247e-09,0.0025,0.2625,15.43723646164837,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5437236461648371e-09,0.0025,0.2625
0.0,-0.69,orbital,6.471297724594281,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.47129772459428e-10,0.0025,0.2625,6.472348318997543,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.472348318997542e-10,0.0025,0.2625,6.373530712667924,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.373530712667925e-10,0.0025,0.2625
0.0,-0.69,photon_geometry,7.915618968847693,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.915618968847694e-10,0.0025,0.2625,7.917195186998218,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.917195186998219e-10,0.0025,0.2625,7.855774365407424,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.855774365407424e-10,0.0025,0.2625
0.0,-0.69,redshift,3.758869603337209,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.758869603337209e-10,0.0025,0.2625,3.7591901617516417,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.7591901617516416e-10,0.0025,0.2625,3.7520478965472273,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.7520478965472276e-10,0.0025,0.2625
0.0,-0.69,timing,5.244165165867706,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,5.244165165867707e-10,0.0025,0.2625,5.240065147212303,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,5.240065147212302e-10,0.0025,0.2625,5.18604499020977,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,5.18604499020977e-10,0.0025,0.2625
0.0,-0.69,all_shooting,12.089875387369103,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.2089875387369103e-09,0.0025,0.2625,12.089791801792844,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.2089791801792843e-09,0.0025,0.2625,11.971132389376455,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.1971132389376455e-09,0.0025,0.2625
0.0,-0.69,ringdown_only,2.270259125252929,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.2702591252529286e-10,0.0025,0.2625,2.270259125252929,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.2702591252529286e-10,0.0025,0.2625,2.270259125253172,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.270259125253172e-10,0.0025,0.2625
0.0,-0.69,ringdown_plus_photon_geometry,8.234749550276293,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,8.234749550276292e-10,0.0025,0.2625,8.236264694922205,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,8.236264694922206e-10,0.0025,0.2625,8.177240816802922,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,8.177240816802922e-10,0.0025,0.2625
0.0,-0.69,ringdown_plus_all_shooting,12.301185446041671,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.2301185446041671e-09,0.0025,0.2625,12.30110329631012,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.230110329631012e-09,0.0025,0.2625,12.184501925797926,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.2184501925797926e-09,0.0025,0.2625
0.0,-0.6666666666666666,orbital,5.055040959111168,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.055040959111168e-10,0.0025,0.2625,5.056091031142879,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.056091031142879e-10,0.0025,0.2625,4.956261466172087,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,4.956261466172088e-10,0.0025,0.2625
0.0,-0.6666666666666666,photon_geometry,6.064491048919462,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.064491048919462e-10,0.0025,0.2625,6.065753059065102,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.065753059065102e-10,0.0025,0.2625,6.004009923559451,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.004009923559451e-10,0.0025,0.2625
0.0,-0.6666666666666666,redshift,2.8398426893896382,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.8398426893896383e-10,0.0025,0.2625,2.840102474429653,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.8401024744296533e-10,0.0025,0.2625,2.8324245778261044,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.8324245778261043e-10,0.0025,0.2625
