k,wq,unresolved_feature_count,maximum_normalized_feature_change,maximum_hgb_prediction_shift,maximum_rf_prediction_shift,maximum_mlp_prediction_shift,local_condition_number,minimum_singular_value,selection_reason,exact_rank_loss,protocol,direction
0.0,-0.7125,2,0.0633726735559224,0.0416825961851258,0.1030595238095199,0.0315207398222,inf,0.0,exact k=0 and low wq; poorly-conditioned representative; top maximum_rf_prediction_shift,True,directional_extrapolation,high_k_to_low_k
0.0,-0.69,2,0.0633726735559224,0.0416825961851258,0.1030595238095199,0.0315207398222,inf,0.0,poorly-conditioned representative; top maximum_rf_prediction_shift,True,directional_extrapolation,high_k_to_low_k
0.0,-0.6666666666666666,2,0.0633726735559224,0.0416825961851258,0.1030595238095199,0.0315207398222,inf,0.0,poorly-conditioned representative,True,directional_extrapolation,high_k_to_low_k
0.0,-0.58,2,0.0633726735559224,0.035168526457046,0.1030595238095199,0.043119385214332,inf,0.0,high-k to low-k extrapolation representative,True,directional_extrapolation,high_k_to_low_k
0.0,-0.45,2,0.0633726735559224,0.0514948628353876,0.1030595238095199,0.1253919500375257,inf,0.0,exact k=0 and high wq,True,grouped_physical_interpolation,
0.00025,-0.58,2,0.0638121044789097,0.06641599861616,0.0432559523809599,0.0388956218560485,7.30127972452863,0.4032525589531218,smallest nonzero k,False,grouped_physical_interpolation,
0.0005,-0.7125,2,0.0667485725344381,0.0597450880451511,0.0142504409171074,0.1268264140222,8.227462921540383,1.2706591244473338,grouped block 0 representative,False,directional_extrapolation,high_wq_to_low_wq
0.0005,-0.61,2,0.0645861660323127,0.0502310178182206,0.0189121945074318,0.0579483008522906,4.562809371750621,0.8761537223939744,grouped block 1 representative,False,grouped_physical_interpolation,
0.0005,-0.55,2,0.063981089566508,0.2031250745288779,0.1514153439153438,0.03595830199276,3.928527950565945,0.6271246775834926,top maximum_hgb_prediction_shift; top maximum_rf_prediction_shift,False,directional_extrapolation,high_k_to_low_k
0.0005,-0.5,2,0.0637022375181155,0.0508975033479199,0.0362830687830681,0.1599835030119548,4.422007941502083,0.4210418133364858,grouped block 2 representative,False,directional_extrapolation,low_wq_to_high_wq
0.0005,-0.475,2,0.0636124272066929,0.1471371623324507,0.2041402116402101,0.1452187776470737,5.092039458250524,0.3307004015047756,top maximum_hgb_prediction_shift; top maximum_rf_prediction_shift,False,directional_extrapolation,high_k_to_low_k
0.00075,-0.475,2,0.0637306277287141,0.1506877407938172,0.0434753086419748,0.2180877543852508,3.5580668900769483,0.4830456583984323,top maximum_hgb_prediction_shift,False,directional_extrapolation,low_wq_to_high_wq
0.001,-0.58,2,0.065043594892173,0.1854452697621737,0.078814189635968,0.1056167134960799,3.036102644590489,1.2073068596773693,top maximum_hgb_prediction_shift,False,grouped_physical_interpolation,
0.00125,-0.7125,2,0.0680341118037832,0.05947878233316,0.02052050264548,11.26486943275981,5.283938978296745,3.334968419555012,high-wq to low-wq extrapolation representative,False,directional_extrapolation,high_wq_to_low_wq
0.00125,-0.58,2,0.0654225080927678,0.0480081562900372,0.0341111111110799,0.0452414165922,3.043370972132912,1.3307912224200278,grid centre,False,grouped_physical_interpolation,
0.00125,-0.45,2,0.063801234474893,0.0497656266268799,0.0136693751574704,0.2614513780979686,2.4739235098019163,0.6781345404594068,low-wq to high-wq extrapolation representative,False,directional_extrapolation,low_wq_to_high_wq
0.0015,-0.7125,2,0.0665457337065284,0.0594787823332,0.0098333333333199,70.78471104900004,6.178882192061494,4.440370966219322,grouped block 3 representative,False,directional_extrapolation,high_wq_to_low_wq
0.0015,-0.61,2,0.0666211784354473,0.06393523869656,0.0159166666666399,0.0285699420354673,3.713149141157244,1.5687017504455238,grouped block 4 representative,False,grouped_physical_interpolation,
0.0015,-0.5,2,0.0643362841778716,0.0526738077908901,0.0149074074074067,0.2650346980539689,2.2644786122220317,1.0013651132561592,grouped block 5 representative,False,directional_extrapolation,low_wq_to_high_wq
0.00175,-0.7125,2,0.0663612762857069,0.06601108685284,0.0321426471823285,205.97172209911145,8.349272080675961,5.614152884502821,catastrophic/top MLP shift,False,directional_extrapolation,high_wq_to_low_wq
0.00175,-0.45,2,0.0639683570069553,0.0333219271302799,0.01425,0.2942340295389463,2.1597205891057256,0.8542423749095257,well-conditioned representative,False,directional_extrapolation,low_wq_to_high_wq
0.002,-0.7125,2,0.0686648096747404,0.06601108685284,0.04177777777776,475.6271124812599,11.582091713879349,7.366999185656925,catastrophic/top MLP shift; top maximum_normalized_feature_change,False,directional_extrapolation,high_wq_to_low_wq
0.002,-0.69,2,0.0658884880660974,0.0612147704744799,0.04177777777776,97.35902007707595,18.831327240617604,2.496727850199142,catastrophic/top MLP shift,False,directional_extrapolation,high_wq_to_low_wq
0.002,-0.45,2,0.064050982046844,0.0670057228595599,0.0140615079365199,0.3093981054032058,2.1324039210192365,0.91659397539541,well-conditioned representative,False,directional_extrapolation,low_wq_to_high_wq
0.00225,-0.7125,1,0.0725785328896041,0.1048456549078522,0.0338925131943617,1037.7621354770974,10.359455284425536,16.497841436380984,catastrophic/top MLP shift; top maximum_normalized_feature_change,False,directional_extrapolation,high_wq_to_low_wq
0.00225,-0.69,2,0.0671452583625545,0.06601108685284,0.0321426471823285,214.3139070429884,29.64644937413534,2.8712524168119686,catastrophic/top MLP shift,False,directional_extrapolation,high_wq_to_low_wq
0.00225,-0.6666666666666666,2,0.067553985143702,0.0612147704744799,0.0611362433862399,30.67571122979612,12.1268729074438,2.193506055710445,grouped block 6 representative,False,directional_extrapolation,high_wq_to_low_wq
0.00225,-0.55,2,0.0658750351587627,0.0145358491535999,0.0242638888889199,0.0600400136231999,3.1379895181045407,1.3969068104798998,grouped block 7 representative,False,grouped_physical_interpolation,
0.00225,-0.475,2,0.0644156630907657,0.0319438624062799,0.0227777777777774,0.31410021503674,2.2631473615231394,1.0290074396033313,grouped block 8 representative,False,directional_extrapolation,low_wq_to_high_wq
0.00225,-0.45,2,0.0641329779409914,0.0320494668632799,0.0145753968253999,0.3217450557948489,2.154778165649061,0.9645191317694928,well-conditioned representative,False,directional_extrapolation,low_wq_to_high_wq
0.0025,-0.7125,1,0.0806924624790291,0.103803715982128,0.0441360544217696,2562.8408713310214,28.917059268683158,11.14513046700464,catastrophic/top MLP shift; largest k and low wq; top maximum_normalized_feature_change,False,directional_extrapolation,high_wq_to_low_wq
0.0025,-0.69,2,0.0690031716435617,0.06601108685284,0.01973611111112,413.4890325823878,29.020542313295635,5.924513702550163,catastrophic/top MLP shift; top maximum_normalized_feature_change,False,directional_extrapolation,high_wq_to_low_wq
