method,protocol,direction,fold,seed,point_id,k,wq,error_ringdown,error_ringdown_plus_geometry,ringdown_only,ringdown_plus_photon_geometry,delta_log_sigma_min,delta_error_wq
HGB,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1048520314551578,0.0700567869484062,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0347952445067516
HGB,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0890221963775884,0.0298650643698431,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.059157132007745306
HGB,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0943849084397174,0.0299170468774914,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.064467861562226
HGB,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0930659534375346,0.0431387284328246,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.04992722500471
HGB,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1157170514259598,0.0373549279483911,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0783621234775687
HGB,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1595085832417885,0.1526660318505766,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0068425513912118985
HGB,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.14887398188042,0.1273689123548883,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.021505069525531717
HGB,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1739572525509722,0.151992861665712,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0219643908852602
HGB,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1538715616607547,0.1544777096496387,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0006061479888840038
HGB,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1532197036072654,0.1509093088576226,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0023103947496427857
HGB,grouped_physical_interpolation,,blocks_3x3_g2,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1595819450436188,0.1702492414679062,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.010667296424287404
HGB,grouped_physical_interpolation,,blocks_3x3_g2,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1639205728525948,0.1562201669614442,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.007700405891150591
HGB,grouped_physical_interpolation,,blocks_3x3_g2,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1541842651967493,0.1477836855361585,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.006400579660590794
HGB,grouped_physical_interpolation,,blocks_3x3_g2,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1621946140311169,0.146065686692525,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.016128927338591892
HGB,grouped_physical_interpolation,,blocks_3x3_g2,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1566478634385718,0.1413001285860293,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.015347734852542483
HGB,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1650631629096815,0.1778079962550257,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.012744833345344181
HGB,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1563956128469585,0.1385306766044363,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.017864936242522195
HGB,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1461512861284736,0.1579212332697203,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.011769947141246684
HGB,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1596672593647682,0.1543405857078506,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.00532667365691758
