method,protocol,n,spearman_rho,ci_low,ci_high
HGB,directional_extrapolation,575,0.11639677544386177,0.026561326982106122,0.21021456241279002
HGB,grouped_physical_interpolation,1100,-0.005517574969272675,-0.06572932481756258,0.05450938118541839
HGB,random_interpolation,113,0.02097478926876315,-0.19159704442108225,0.2229066481502324
Jacobian local inverse,directional_extrapolation,575,-0.0727874309602783,-0.1725944960124837,0.02485926848664213
Jacobian local inverse,grouped_physical_interpolation,1100,-0.05934017762055575,-0.12397039896380166,0.0026289468035656416
Jacobian local inverse,random_interpolation,113,0.13390924356476272,-0.06886571498704454,0.3313509413322626
MLP,directional_extrapolation,575,-0.04128304067439011,-0.1322071351273867,0.051249792785997804
MLP,grouped_physical_interpolation,1100,-0.03911153470271602,-0.10709852813532056,0.026275446950106123
MLP,random_interpolation,113,0.15895587869791594,-0.03487670627343291,0.34793102851025554
Nearest physical model,directional_extrapolation,575,-0.23091283221664746,-0.319233025758071,-0.13624983405375377
Nearest physical model,grouped_physical_interpolation,1100,-0.014565626638333792,-0.07688109571124974,0.04704759994981343
Nearest physical model,random_interpolation,113,-0.3765598706518972,-0.5459637539054534,-0.18977154514620026
RF,directional_extrapolation,575,-0.003964266853174089,-0.09119713812400448,0.08966367042550569
RF,grouped_physical_interpolation,1100,-0.03449391147648513,-0.09284612486469913,0.02574757495357959
RF,random_interpolation,113,0.06331949074512198,-0.12607670464824636,0.25169652877093535
