method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,33,22,4.9511399808334694e-05,0.019804559923333877,0.019010341784674433,0.07242034965590259
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,33,22,5.924576755905949e-05,0.0236983070236238,0.01552828839427418,0.059155384359139744
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,33,22,2.150424261783102e-05,0.008601697047132408,0.04959200518072496,0.18892192449799985
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,33,22,2.0568538308805162e-05,0.008227415323522065,0.02524642206456211,0.09617684596023661
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,33,22,1.8669476965583295e-05,0.007467790786233318,0.026142777764884006,0.09959153434241524
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,all_shooting,33,22,9.446482424033673e-05,0.037785929696134694,0.026309574438339367,0.10022695024129286
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,photon_geometry,33,22,0.00013574768731283295,0.05429907492513318,0.021176616691813397,0.08067282549262246
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown,33,22,2.4667878292549728e-05,0.00986715131701989,0.05265006669812238,0.20057168265951386
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown_plus_all_shooting,33,22,4.050758672732465e-05,0.01620303469092986,0.030984107155365825,0.1180346939252031
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown_plus_photon_geometry,33,22,3.242653322195913e-05,0.012970613288783652,0.03259889063055633,0.124186250021167
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,all_shooting,33,22,7.695819680065038e-05,0.030783278720260144,0.020991392992241484,0.07996721139901518
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,photon_geometry,33,22,0.00011104874227815287,0.04441949691126115,0.017505012621041864,0.06668576236587376
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown,33,22,2.611867340136801e-05,0.010447469360547202,0.05204807899161772,0.19827839615854373
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown_plus_all_shooting,33,22,3.55216342889757e-05,0.01420865371559028,0.025521010242817624,0.09722289616311475
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown_plus_photon_geometry,33,22,2.6927462865289982e-05,0.010770985146115991,0.027551707429095133,0.10495888544417192
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,all_shooting,33,22,5.789946082817577e-05,0.023159784331270306,0.018412485566069347,0.07014280215645465
