protocol,direction,fold,seed,feature_set,point_id,nearest_training_row_identifier,standardized_nearest_distance
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.50000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.52500000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.47500000,k0.00075000_wq-0.47500000,1.2119119261865694
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.61000000,k0.00075000_wq-0.47500000,1.057202875116478
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.45000000,k0.00075000_wq-0.47500000,0.6636625760402177
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.58000000,k0.00075000_wq-0.47500000,0.3870848312549967
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.64000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.64000000,k0.00075000_wq-0.47500000,0.354642011592171
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.55000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.61000000,k0.00075000_wq-0.47500000,0.35487586304738417
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.52500000,k0.00075000_wq-0.47500000,1.1535629471061033
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.69000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.61000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.71250000,k0.00075000_wq-0.52500000,0.4765356503049444
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.52500000,k0.00075000_wq-0.47500000,0.49217565142039765
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.69000000,k0.00075000_wq-0.47500000,0.9859046952613413
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.55000000,k0.00075000_wq-0.47500000,0.43976371098771866
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.50000000,k0.00075000_wq-0.47500000,0.5483309005885739
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.71250000,k0.00075000_wq-0.47500000,0.9732930713479557
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.69000000,k0.00075000_wq-0.50000000,0.43007782624802465
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.45000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.64000000,k0.00075000_wq-0.47500000,1.026880975360989
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.66666667,k0.00075000_wq-0.47500000,1.0031675035098995
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.58000000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.66666667,k0.00075000_wq-0.47500000,0.38671263789588567
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00050000_wq-0.47500000,k0.00075000_wq-0.47500000,0.6059559630932848
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.50000000,k0.00075000_wq-0.47500000,1.182825268612063
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.45000000,k0.00075000_wq-0.47500000,1.240605230429825
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.71250000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.47500000,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.58000000,k0.00075000_wq-0.47500000,1.0900650012959012
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00025000_wq-0.55000000,k0.00075000_wq-0.47500000,1.1244052377592022
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,k0.00000000_wq-0.66666667,k0.00075000_wq-0.47500000,1.817867889279845
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.50000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.52500000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.47500000,k0.00075000_wq-0.47500000,0.23810017173739595
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.61000000,k0.00075000_wq-0.52500000,0.1585261431941511
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.45000000,k0.00075000_wq-0.47500000,0.17682089546798624
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.58000000,k0.00075000_wq-0.55000000,0.08242492923535297
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.64000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.64000000,k0.00075000_wq-0.61000000,0.15092890846207493
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.55000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.61000000,k0.00075000_wq-0.58000000,0.1106948174225393
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.52500000,k0.00075000_wq-0.47500000,0.15408330290252706
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.69000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.61000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.71250000,k0.00075000_wq-0.69000000,0.5529229912699203
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.52500000,k0.00075000_wq-0.50000000,0.06385573633173422
