method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,33,22,0.0005,0.19999999999999998,0.04825757575757577,0.18383838383838383
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,33,22,0.0005,0.19999999999999998,0.04234848484848485,0.16132756132756132
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,33,22,0.0005,0.19999999999999998,0.1078787878787879,0.410966810966811
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,33,22,0.0005,0.19999999999999998,0.055530303030303034,0.2115440115440115
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,33,22,0.0005,0.19999999999999998,0.0603030303030303,0.22972582972582967
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,all_shooting,33,22,0.0005075757575757576,0.20303030303030303,0.05772727272727273,0.2199134199134199
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,photon_geometry,33,22,0.0005151515151515152,0.20606060606060606,0.051818181818181826,0.19740259740259739
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown,33,22,0.0005,0.19999999999999998,0.126060606060606,0.48023088023088006
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown_plus_all_shooting,33,22,0.0005,0.19999999999999998,0.0659090909090909,0.2510822510822511
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown_plus_photon_geometry,33,22,0.0005,0.19999999999999998,0.06931818181818182,0.2640692640692641
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,all_shooting,33,22,0.0005,0.19999999999999998,0.05643939393939394,0.21500721500721498
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,photon_geometry,33,22,0.0005,0.19999999999999998,0.04712121212121212,0.17950937950937945
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown,33,22,0.0005,0.19999999999999998,0.12492424242424241,0.47590187590187577
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown_plus_all_shooting,33,22,0.0005,0.19999999999999998,0.06121212121212121,0.2331890331890332
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown_plus_photon_geometry,33,22,0.0005,0.19999999999999998,0.06462121212121211,0.24617604617604616
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,all_shooting,33,22,0.0005,0.19999999999999998,0.04962121212121213,0.18903318903318905
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,photon_geometry,33,22,0.0005303030303030304,0.21212121212121213,0.048712121212121214,0.18556998556998555
