source_csv,filtering_rule,protocol,feature_set,sample_count,aggregation,value,status
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.2506323885119129,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.1901592115190337,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.2570268459081533,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.2183507172864136,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.1714089285892485,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.3502083027239304,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.158830171405083,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.1904123826129158,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.180336285185512,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.2146388532465263,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.1377935574705104,PASS
