method,protocol,feature_set,k_NMAE,identifiable_wq_NMAE,k_q25,k_q75,wq_q25,wq_q75,n
HGB,directional_extrapolation,all_shooting,0.25063238851191294,0.19015921151903376,0.1968190280156323,0.2651672964491121,0.12001309093664256,0.23333724178144266,20
HGB,directional_extrapolation,photon_geometry,0.2570268459081533,0.2183507172864136,0.21890500528810372,0.3097037751635018,0.16923411278216413,0.25283225066591847,20
HGB,directional_extrapolation,ringdown,0.1714089285892485,0.35020830272393044,0.07666644862467026,0.27266686610588,0.3009453125895845,0.4553803869144294,20
HGB,directional_extrapolation,ringdown_plus_all_shooting,0.15883017140508304,0.19041238261291585,0.07350108441525693,0.25005244338768595,0.11965186037989906,0.2327729584421848,20
HGB,directional_extrapolation,ringdown_plus_photon_geometry,0.18033628518551204,0.21463885324652637,0.08685389137050957,0.2730086195983509,0.15766431502296308,0.24862768082776046,20
HGB,grouped_physical_interpolation,all_shooting,0.1377935574705104,0.07163328634942781,0.062884820441763,0.22145809023954366,0.0512177129176067,0.0904931592524174,90
HGB,grouped_physical_interpolation,photon_geometry,0.18144192776257934,0.11123643527892925,0.09804815995363166,0.26013566894293166,0.07383048064684952,0.1512313827880663,90
HGB,grouped_physical_interpolation,ringdown,0.07393974958096661,0.3145413718853994,0.05115885960445555,0.08989482031505411,0.1763680324889244,0.4190856716220415,90
HGB,grouped_physical_interpolation,ringdown_plus_all_shooting,0.050404322636633594,0.07340513157610601,0.031046469315605674,0.08887632995604662,0.0515955655643248,0.09082580526052347,90
HGB,grouped_physical_interpolation,ringdown_plus_photon_geometry,0.052977732176324996,0.0865216633607987,0.0409754001247897,0.0904537618673941,0.06319601015976738,0.13829087935316373,90
HGB,random_interpolation,all_shooting,0.0915423840558884,0.045910942991689,0.0746323767458101,0.0957783661004739,0.0433058813666667,0.0588810608108839,5
HGB,random_interpolation,photon_geometry,0.1256434832959583,0.0966145963872555,0.1091215544499849,0.14032040887635,0.0799196988276778,0.10265708112302,5
HGB,random_interpolation,ringdown,0.0521669459472283,0.1952284127984838,0.0417168975496583,0.0626672133490116,0.1688062827460505,0.2123975301098613,5
HGB,random_interpolation,ringdown_plus_all_shooting,0.0511089784182559,0.0453628679438577,0.0430645818526738,0.0613273213076083,0.0418842405386127,0.059980955862321,5
HGB,random_interpolation,ringdown_plus_photon_geometry,0.0560087389402604,0.0739711397928914,0.0402548010082323,0.0575711292369262,0.0610878254292475,0.0836141394456889,5
Jacobian local inverse,directional_extrapolation,all_shooting,0.09977863782067053,0.12932601467623916,0.06158597365320301,9.04747248432894,0.07881384714598874,5.721483927241418,20
Jacobian local inverse,directional_extrapolation,photon_geometry,0.21742214424087913,0.16452976366086797,0.08486029444895574,1.194617506114846,0.07936392592944966,0.6500329226614192,20
Jacobian local inverse,directional_extrapolation,ringdown,0.019827958361390643,0.06535801033889035,0.013398033808842774,0.025130162479407987,0.05515935268632817,0.11211486646831333,20
Jacobian local inverse,directional_extrapolation,ringdown_plus_all_shooting,0.06235304973077896,0.12281520089907313,0.02831576004301713,7.722276432925429,0.0953671958668929,4.774337283530169,20
Jacobian local inverse,directional_extrapolation,ringdown_plus_photon_geometry,0.06605037325728132,0.11719593286111318,0.02292598856064896,0.5774648298503408,0.10206515301694927,0.22697123840291877,20
Jacobian local inverse,grouped_physical_interpolation,all_shooting,0.04026668617676546,0.04089164244134383,0.02615570920751571,0.0643975880070975,0.02642499774101715,0.07776463037712507,90
Jacobian local inverse,grouped_physical_interpolation,photon_geometry,0.05857610500054635,0.043485325285673615,0.04246070180995411,0.08578805308987768,0.02716364904121299,0.08788658872292841,90
Jacobian local inverse,grouped_physical_interpolation,ringdown,0.013788611142893491,0.04585575648803078,0.004904595360216801,0.021274553109583833,0.02887464108826031,0.07155487584831326,90
