method,protocol,direction,fold,seed,feature_set,k_NMAE,identifiable_wq_NMAE
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,0.19999999999999998,0.18383838383838383
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,0.19999999999999998,0.16132756132756132
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown,0.19999999999999998,0.410966810966811
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,0.19999999999999998,0.2115440115440115
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,0.19999999999999998,0.22972582972582967
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,all_shooting,0.20303030303030303,0.2199134199134199
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,photon_geometry,0.20606060606060606,0.19740259740259739
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown,0.19999999999999998,0.48023088023088006
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown_plus_all_shooting,0.19999999999999998,0.2510822510822511
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown_plus_photon_geometry,0.19999999999999998,0.2640692640692641
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,all_shooting,0.19999999999999998,0.21500721500721498
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,photon_geometry,0.19999999999999998,0.17950937950937945
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown,0.19999999999999998,0.47590187590187577
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown_plus_all_shooting,0.19999999999999998,0.2331890331890332
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,ringdown_plus_photon_geometry,0.19999999999999998,0.24617604617604616
Nearest physical model,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,all_shooting,0.19999999999999998,0.18903318903318905
