feature,reference_value,production_value,absolute_difference
orbital__r_emit__mean,9.591478071099413,9.59147807109621,3.2027713814386516e-12
orbital__r_emit__amplitude,1.9998697008654744,1.9998697008596984,5.7760463079148394e-12
orbital__r_emit__reference,12.0,12.0,0.0
orbital__r_emit__cos1,0.3894397935904095,0.3894397935977744,7.364941989607132e-12
orbital__r_emit__sin1,1.6750622351701854,1.6750622351772897,7.104317134576377e-12
orbital__r_emit__cos2,0.023668575594032706,0.0236685755944314,3.9869496593070153e-13
orbital__r_emit__sin2,0.6921230282710941,0.6921230282584264,1.2667644710973036e-11
orbital__r_emit__cos3,0.007783577163716452,0.007783577160468,3.248451854731549e-12
orbital__r_emit__sin3,0.433340043879762,0.4333400438746537,5.108302669754039e-12
orbital__p_r_emit__mean,-0.03037085917063629,-0.0303708591704677,1.6859083573628197e-13
orbital__p_r_emit__amplitude,0.03530221928840101,0.0353022192887159,3.1489394425321393e-13
orbital__p_r_emit__reference,0.0,0.0,0.0
orbital__p_r_emit__cos1,0.026239756274962306,0.0262397562750408,7.849276784099857e-14
orbital__p_r_emit__sin1,-0.008837136228309294,-0.008837136228621,3.1170552250436856e-13
orbital__p_r_emit__cos2,0.0049874093306442975,0.0049874093305938,5.0497800385684855e-14
orbital__p_r_emit__sin2,-0.002765068600246639,-0.0027650686002561,9.460748157108512e-15
orbital__p_r_emit__cos3,0.002130965743843309,0.0021309657438249,1.8408885527065877e-14
orbital__p_r_emit__sin3,-0.0017905486504662964,-0.0017905486504783,1.2003635932456014e-14
photon_geometry__impact_parameter__mean,9.797072101467798,9.79707210146611,1.687538997430238e-12
photon_geometry__impact_parameter__amplitude,2.443032172409037,2.4430321723813315,2.7705393534915856e-11
photon_geometry__impact_parameter__reference,10.41626286288726,10.416262862887308,4.796163466380676e-14
photon_geometry__impact_parameter__cos1,-0.6367244322395519,-0.6367244322334481,6.103784144784186e-12
photon_geometry__impact_parameter__sin1,1.1636448371328347,1.1636448371398689,7.034151039420067e-12
photon_geometry__impact_parameter__cos2,-0.684747770594037,-0.6847477705928371,1.1999290450148692e-12
photon_geometry__impact_parameter__sin2,-0.08640916543023065,-0.0864091654418358,1.1605147398618954e-11
photon_geometry__impact_parameter__cos3,0.016109732346017473,0.0161097323420361,3.981374258055226e-12
photon_geometry__impact_parameter__sin3,0.2210458839246563,0.2210458839214082,3.2480962364189736e-12
photon_geometry__alpha_sky__mean,0.006344581807976475,0.006344581807969,7.474923457984062e-15
photon_geometry__alpha_sky__amplitude,0.12195492159222016,0.1219549215926244,4.042460810538273e-13
photon_geometry__alpha_sky__reference,-0.1215895450060836,-0.121589545006084,4.0245584642661925e-16
photon_geometry__alpha_sky__cos1,-0.1016518793497658,-0.1016518793497897,2.3897550605056495e-14
photon_geometry__alpha_sky__sin1,0.05129581092804832,0.0512958109281014,5.307559947098639e-14
photon_geometry__alpha_sky__cos2,0.0008874951056868135,0.0008874951056429,4.3913549012397635e-14
photon_geometry__alpha_sky__sin2,-0.00861465075408174,-0.0086146507540832,1.4606371667724716e-15
photon_geometry__alpha_sky__cos3,-0.004512932803809544,-0.0045129328037848,2.4744095661333176e-14
