k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.7125,orbital,8.16182277883514,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,8.161822778835139e-10,0.0025,0.2625
0.0,-0.7125,photon_geometry,10.227126447441456,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.0227126447441458e-09,0.0025,0.2625
0.0,-0.7125,redshift,4.916915610740778,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.916915610740779e-10,0.0025,0.2625
0.0,-0.7125,timing,6.392386520923823,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,6.392386520923824e-10,0.0025,0.2625
0.0,-0.7125,all_shooting,15.370365350280505,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.5370365350280506e-09,0.0025,0.2625
0.0,-0.7125,ringdown_only,2.3575205487453537,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.3575205487453536e-10,0.0025,0.2625
0.0,-0.7125,ringdown_plus_photon_geometry,10.495333177642006,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.0495333177642006e-09,0.0025,0.2625
0.0,-0.7125,ringdown_plus_all_shooting,15.550113637490247,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.5550113637490247e-09,0.0025,0.2625
0.0,-0.69,orbital,6.472348318997543,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,6.472348318997543e-10,0.0025,0.2625
0.0,-0.69,photon_geometry,7.917195186998218,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,7.917195186998219e-10,0.0025,0.2625
0.0,-0.69,redshift,3.7591901617516417,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.7591901617516416e-10,0.0025,0.2625
0.0,-0.69,timing,5.240065147212303,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,5.240065147212303e-10,0.0025,0.2625
0.0,-0.69,all_shooting,12.089791801792845,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.2089791801792845e-09,0.0025,0.2625
0.0,-0.69,ringdown_only,2.270259125252929,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,2.2702591252529291e-10,0.0025,0.2625
0.0,-0.69,ringdown_plus_photon_geometry,8.236264694922205,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,8.236264694922206e-10,0.0025,0.2625
0.0,-0.69,ringdown_plus_all_shooting,12.30110329631012,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,1.2301103296310121e-09,0.0025,0.2625
0.0,-0.6666666666666666,orbital,5.056091031142879,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.056091031142879e-10,0.0025,0.2625
0.0,-0.6666666666666666,photon_geometry,6.065753059065102,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.065753059065102e-10,0.0025,0.2625
