k,wq,feature,feature_group,value_81,value_161,difference,absolute_difference,normalized_difference,convergence_classification
0.0,-0.7125,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.69,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.6666666666666666,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.64,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.61,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.58,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.55,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.525,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.5,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.475,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.0,-0.45,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,0.0,0.0,0.0,converged
0.00025,-0.7125,orbital__radial_azimuthal_period,orbital,10.69058330285548,10.69058330285548,0.0,0.0,0.0,converged
0.00025,-0.69,orbital__radial_azimuthal_period,orbital,10.596933139012204,10.596933139012203,-1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.00025,-0.6666666666666666,orbital__radial_azimuthal_period,orbital,10.522524925620534,10.522524925620534,0.0,0.0,0.0,converged
0.00025,-0.64,orbital__radial_azimuthal_period,orbital,10.458634439134864,10.458634439134865,1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.00025,-0.61,orbital__radial_azimuthal_period,orbital,10.406537073784492,10.406537073784493,1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.00025,-0.58,orbital__radial_azimuthal_period,orbital,10.369530114103547,10.369530114103547,0.0,0.0,0.0,converged
0.00025,-0.55,orbital__radial_azimuthal_period,orbital,10.343312852754137,10.343312852754137,0.0,0.0,0.0,converged
0.00025,-0.525,orbital__radial_azimuthal_period,orbital,10.327476026131388,10.327476026131388,0.0,0.0,0.0,converged
0.00025,-0.5,orbital__radial_azimuthal_period,orbital,10.315699154032394,10.315699154032394,0.0,0.0,0.0,converged
0.00025,-0.475,orbital__radial_azimuthal_period,orbital,10.30699445326098,10.306994453260979,-1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.00025,-0.45,orbital__radial_azimuthal_period,orbital,10.300607892435892,10.300607892435893,1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.7125,orbital__radial_azimuthal_period,orbital,11.16663143000264,11.166631430002639,-1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.69,orbital__radial_azimuthal_period,orbital,10.949945046433175,10.949945046433177,1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.6666666666666666,orbital__radial_azimuthal_period,orbital,10.783763644983845,10.783763644983843,-1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.64,orbital__radial_azimuthal_period,orbital,10.64507687820993,10.64507687820993,0.0,0.0,0.0,converged
0.0005,-0.61,orbital__radial_azimuthal_period,orbital,10.53461603143201,10.53461603143201,0.0,0.0,0.0,converged
0.0005,-0.58,orbital__radial_azimuthal_period,orbital,10.457540680362214,10.457540680362214,0.0,0.0,0.0,converged
0.0005,-0.55,orbital__radial_azimuthal_period,orbital,10.4036214361004,10.403621436100401,1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.525,orbital__radial_azimuthal_period,orbital,10.371322454048626,10.371322454048626,0.0,0.0,0.0,converged
0.0005,-0.5,orbital__radial_azimuthal_period,orbital,10.347435376143585,10.347435376143583,-1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.475,orbital__radial_azimuthal_period,orbital,10.329851515387816,10.329851515387817,1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.0005,-0.45,orbital__radial_azimuthal_period,orbital,10.31698916159163,10.31698916159163,0.0,0.0,0.0,converged
0.00075,-0.7125,orbital__radial_azimuthal_period,orbital,11.734173753072632,11.734173753072632,0.0,0.0,0.0,converged
0.00075,-0.69,orbital__radial_azimuthal_period,orbital,11.352524933676628,11.352524933676627,-1.7763568394002505e-15,1.7763568394002505e-15,3.949304638904474e-16,converged
0.00075,-0.6666666666666666,orbital__radial_azimuthal_period,orbital,11.071858634284926,11.071858634284926,0.0,0.0,0.0,converged
