k,wq,point_id,feature,observable_family,value_81,value_161,value_321,absolute_change_81_161,absolute_change_161_321,normalized_change_81_161,normalized_change_161_321,estimated_convergence_ratio,behavior,final_convergence_class
0.0,-0.7125,k0p000000000_wqm0p712500000,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,10.28431129342623,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.69,k0p000000000_wqm0p690000000,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,10.28431129342623,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.6666666666666666,k0p000000000_wqm0p666666667,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,10.28431129342623,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.58,k0p000000000_wqm0p580000000,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,10.28431129342623,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.45,k0p000000000_wqm0p450000000,orbital__radial_azimuthal_period,orbital,10.28431129342623,10.28431129342623,10.28431129342623,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00025,-0.58,k0p000250000_wqm0p580000000,orbital__radial_azimuthal_period,orbital,10.369530114103547,10.369530114103547,10.369530114103547,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.7125,k0p000500000_wqm0p712500000,orbital__radial_azimuthal_period,orbital,11.16663143000264,11.16663143000264,11.16663143000264,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.61,k0p000500000_wqm0p610000000,orbital__radial_azimuthal_period,orbital,10.53461603143201,10.53461603143201,10.53461603143201,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.55,k0p000500000_wqm0p550000000,orbital__radial_azimuthal_period,orbital,10.4036214361004,10.4036214361004,10.4036214361004,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.5,k0p000500000_wqm0p500000000,orbital__radial_azimuthal_period,orbital,10.347435376143585,10.347435376143585,10.347435376143585,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.475,k0p000500000_wqm0p475000000,orbital__radial_azimuthal_period,orbital,10.329851515387816,10.329851515387816,10.329851515387816,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00075,-0.475,k0p000750000_wqm0p475000000,orbital__radial_azimuthal_period,orbital,10.35288471904768,10.35288471904768,10.35288471904768,0.0,0.0,0.0,0.0,0.0,monotonic,converged
